id,classe,subclasse,desempenho,peso_classe,peso_subclasse,peso_por_questao
1,Matemática,Proporcionalidade direta e indireta,0.297201533672138,1.0,0.145691,213.0
2,Matemática,Estatística,0.2013043543386543,1.0,0.127907,187.0
3,Matemática,Geometria plana,-0.40258111679476744,1.0,0.075239,110.0
4,Matemática,Geometria espacial,0.05756284788172248,1.0,0.064979,95.0
5,Matemática,Probabilidade,-0.3765326097663545,1.0,0.05472,80.0
6,Matemática,Funções,-0.39205890050494824,1.0,0.051984,76.0
7,Matemática,Razão,0.7307878838751449,1.0,0.038988,57.0
8,Matemática,Volume,0.7880377634409198,1.0,0.038304,56.0
9,Matemática,Análise combinatória,-0.08565887875424948,1.0,0.036936,54.0
10,Matemática,Matemática financeira,-0.45724090836955705,1.0,0.032832,48.0
11,Matemática,Unidades de medida,0.43006972694970647,1.0,0.032148,47.0
12,Matemática,Equações,0.17940096107075038,1.0,0.03078,45.0
13,Matemática,Geometria analítica,0.8648285303761538,1.0,0.025992,38.0
14,Matemática,Números racionais,-0.2488241081996393,1.0,0.023256,34.0
15,Matemática,Áreas de figuras planas,0.8809349494437113,1.0,0.0171,25.0
16,Física,Calorimetria,0.08450654148040986,1.0,0.077088,36.0
17,Física,Circuitos elétricos,-0.5426185069417385,1.0,0.068522,32.0
18,Física,Termodinâmica,-0.005325874481219303,1.0,0.051392,24.0
19,Física,Forças e movimento,0.5578991908100972,1.0,0.049251,23.0
20,Física,Consumo de energia elétrica,-0.6324857661428401,1.0,0.036403,17.0
21,Física,Reflexão e refração,-0.5103625793241263,1.0,0.029979,14.0
22,Física,"Trabalho, energia e os teoremas",-0.3567105949486337,1.0,0.027837,13.0
23,Física,Propriedades físicas do som,0.28706111945148705,1.0,0.027837,13.0
24,Física,Aplicações das propriedades das ondas,-0.22727711005110932,1.0,0.023555,11.0
25,Física,"Lançamento vertical, horizontal e oblíquo",-0.578283707891964,1.0,0.023555,11.0
26,Física,Movimento uniforme,0.6486067773166296,1.0,0.019272,9.0
27,Física,Fenômenos sonoros,-0.6916857990734411,1.0,0.019272,9.0
28,Física,Qualidades fisiológicas do som,0.1602954493659479,1.0,0.019272,9.0
29,Química,Funções orgânicas,-0.29543093506929374,1.0,0.059932,35.0
30,Química,Reações orgânicas,-0.7171032417701921,1.0,0.046233,27.0
31,Química,Aplicações da cinética química,0.3049900551150582,1.0,0.041096,24.0
32,Química,Pilhas,0.2563337806445717,1.0,0.032534,19.0
33,Química,Processos de separação de misturas,0.9982583994560847,1.0,0.032534,19.0
34,Química,Concentração de soluções,0.7147283415538445,1.0,0.02911,17.0
35,Química,Controle de poluição,0.9144008257981162,1.0,0.02911,17.0
36,Química,Tecnologias ambientais,-0.7049856590215535,1.0,0.02911,17.0
37,Química,Poluição da água,0.24716683637601072,1.0,0.025685,15.0
38,Química,Tipos de reações químicas,0.47414365066900616,1.0,0.025685,15.0
39,Química,Estrutura atômica,-0.17637049555652806,1.0,0.023973,14.0
40,Química,Entalpia das reações,-0.07679967264877625,1.0,0.023973,14.0
41,Química,Termoquímica,-0.591780322038859,1.0,0.02226,13.0
