id,classe,subclasse,desempenho,peso_classe,peso_subclasse,peso_por_questao
1,Matemática,Proporcionalidade direta e indireta,0.3312158213323236,1.0,0.145691,213.0
2,Matemática,Estatística,0.08786588513430509,1.0,0.127907,187.0
3,Matemática,Geometria plana,0.33548339268141303,1.0,0.075239,110.0
4,Matemática,Geometria espacial,-0.7061731405244854,1.0,0.064979,95.0
5,Matemática,Probabilidade,-0.3699391660887452,1.0,0.05472,80.0
6,Matemática,Funções,-0.14071340384336675,1.0,0.051984,76.0
7,Matemática,Razão,-0.7323453706598793,1.0,0.038988,57.0
8,Matemática,Volume,0.037004800701845246,1.0,0.038304,56.0
9,Matemática,Análise combinatória,-0.04680605390011293,1.0,0.036936,54.0
10,Matemática,Matemática financeira,0.323054693645566,1.0,0.032832,48.0
11,Matemática,Unidades de medida,-1.0,1.0,0.032148,47.0
12,Matemática,Equações,0.7713171376495824,1.0,0.03078,45.0
13,Matemática,Geometria analítica,-0.10601276876433367,1.0,0.025992,38.0
14,Matemática,Números racionais,-0.14949585357006837,1.0,0.023256,34.0
15,Matemática,Áreas de figuras planas,0.2459746988833715,1.0,0.0171,25.0
16,Física,Calorimetria,0.32338232803450945,1.0,0.077088,36.0
17,Física,Circuitos elétricos,-0.031249600134451258,1.0,0.068522,32.0
18,Física,Termodinâmica,-0.12919864731213687,1.0,0.051392,24.0
19,Física,Forças e movimento,0.44288614768949236,1.0,0.049251,23.0
20,Física,Consumo de energia elétrica,-0.31375010501815126,1.0,0.036403,17.0
21,Física,Reflexão e refração,-0.6801073268592925,1.0,0.029979,14.0
22,Física,"Trabalho, energia e os teoremas",-0.5492923068580018,1.0,0.027837,13.0
23,Física,Propriedades físicas do som,0.1957864800754655,1.0,0.027837,13.0
24,Física,Aplicações das propriedades das ondas,0.748565280593967,1.0,0.023555,11.0
25,Física,"Lançamento vertical, horizontal e oblíquo",0.018081581510748262,1.0,0.023555,11.0
26,Física,Movimento uniforme,-0.3618374612932462,1.0,0.019272,9.0
27,Física,Fenômenos sonoros,0.15454559782453886,1.0,0.019272,9.0
28,Física,Qualidades fisiológicas do som,-0.534949853961346,1.0,0.019272,9.0
29,Química,Funções orgânicas,1.0,1.0,0.059932,35.0
30,Química,Reações orgânicas,-0.26276126690539175,1.0,0.046233,27.0
31,Química,Aplicações da cinética química,0.5133911923746184,1.0,0.041096,24.0
32,Química,Pilhas,0.07662455399106544,1.0,0.032534,19.0
33,Química,Processos de separação de misturas,-0.9818386446199383,1.0,0.032534,19.0
34,Química,Concentração de soluções,0.4813533884472231,1.0,0.02911,17.0
35,Química,Controle de poluição,-0.21074714112550125,1.0,0.02911,17.0
36,Química,Tecnologias ambientais,0.38180822110321777,1.0,0.02911,17.0
37,Química,Poluição da água,0.44739909890080765,1.0,0.025685,15.0
38,Química,Tipos de reações químicas,0.24060144860836874,1.0,0.025685,15.0
39,Química,Estrutura atômica,0.6367218201934093,1.0,0.023973,14.0
40,Química,Entalpia das reações,0.39997779913384335,1.0,0.023973,14.0
41,Química,Termoquímica,-0.49036542583681925,1.0,0.02226,13.0
42,Biologia,Desequilíbrio em ecossistemas,-0.17378389428534333,1.0,0.115672,62.0
43,Biologia,Doenças causadas por vírus (viroses),0.9975337161518897,1.0,0.04291,23.0
44,Biologia,DNA – material genético e genética do funcionamento dos genes,-0.6711693868200123,1.0,0.041045,22.0
45,Biologia,Ciclos biogeoquímicos,-0.21041359500322876,1.0,0.031716,17.0
46,Biologia,Bioquímica,-0.11663691341792953,1.0,0.031716,17.0
47,Biologia,Biologia celular,-0.004523316138973527,1.0,0.031716,17.0
