id,classe,subclasse,desempenho,peso_classe,peso_subclasse,peso_por_questao
1,Matemática,Proporcionalidade direta e indireta,-0.41750549137675674,1.0,0.145691,213.0
2,Matemática,Estatística,0.3710381506114737,1.0,0.127907,187.0
3,Matemática,Geometria plana,0.42238139022327326,1.0,0.075239,110.0
4,Matemática,Geometria espacial,0.15745462908187313,1.0,0.064979,95.0
5,Matemática,Probabilidade,0.4410967040562325,1.0,0.05472,80.0
6,Matemática,Funções,0.47984148770725105,1.0,0.051984,76.0
7,Matemática,Razão,0.11643073953708438,1.0,0.038988,57.0
8,Matemática,Volume,-0.9338239966636569,1.0,0.038304,56.0
9,Matemática,Análise combinatória,0.22103634134167705,1.0,0.036936,54.0
10,Matemática,Matemática financeira,-0.23115168051511553,1.0,0.032832,48.0
11,Matemática,Unidades de medida,-0.22902441933331466,1.0,0.032148,47.0
12,Matemática,Equações,0.32866113723641277,1.0,0.03078,45.0
13,Matemática,Geometria analítica,-0.12425078246723198,1.0,0.025992,38.0
14,Matemática,Números racionais,-0.7845518101403743,1.0,0.023256,34.0
15,Matemática,Áreas de figuras planas,-0.34383940261906687,1.0,0.0171,25.0
16,Física,Calorimetria,-0.3127893407112341,1.0,0.077088,36.0
17,Física,Circuitos elétricos,-0.2985014933448708,1.0,0.068522,32.0
18,Física,Termodinâmica,0.7728022167951266,1.0,0.051392,24.0
19,Física,Forças e movimento,-0.35249442783265955,1.0,0.049251,23.0
20,Física,Consumo de energia elétrica,0.0995317483596303,1.0,0.036403,17.0
21,Física,Reflexão e refração,0.8025588672302076,1.0,0.029979,14.0
22,Física,"Trabalho, energia e os teoremas",-0.7669205763673368,1.0,0.027837,13.0
23,Física,Propriedades físicas do som,-0.26328074009681834,1.0,0.027837,13.0
24,Física,Aplicações das propriedades das ondas,-1.0,1.0,0.023555,11.0
25,Física,"Lançamento vertical, horizontal e oblíquo",-0.6990436960713299,1.0,0.023555,11.0
26,Física,Movimento uniforme,-0.4489434452153011,1.0,0.019272,9.0
27,Física,Fenômenos sonoros,-0.40039869507455317,1.0,0.019272,9.0
28,Física,Qualidades fisiológicas do som,-0.6627689959731278,1.0,0.019272,9.0
29,Química,Funções orgânicas,0.2742624027319033,1.0,0.059932,35.0
30,Química,Reações orgânicas,0.10932559822968042,1.0,0.046233,27.0
